,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",29.40(2.30),96.25(0.29),22.02(1.67),6.59(0.11),92.70(0.30),15.53(0.09)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",29.00(2.92),96.31(0.37),22.79(2.22),6.65(0.18),92.72(0.43),15.00(0.10)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",29.80(2.95),96.20(0.38),17.16(1.29),6.27(0.07),92.36(0.90),15.52(0.11)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",28.80(2.59),96.33(0.33),18.41(1.44),6.35(0.06),92.94(0.37),15.01(0.06)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",26.60(2.19),96.61(0.28),28.19(1.85),7.07(0.21),93.10(0.49),72.28(0.96)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",26.60(1.82),96.61(0.23),29.33(3.35),7.22(0.37),93.00(0.53),70.48(0.18)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",26.60(2.41),96.61(0.31),21.77(1.16),6.55(0.08),93.10(0.36),71.81(0.90)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",26.40(2.30),96.64(0.29),21.99(1.81),6.57(0.12),93.11(0.57),70.34(0.13)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",26.60(1.52),96.61(0.19),20.30(1.64),6.47(0.08),93.71(0.36),15.01(0.30)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",27.40(2.51),96.51(0.32),21.83(0.55),6.57(0.05),93.55(0.38),14.68(0.21)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",26.80(1.79),96.59(0.23),19.00(1.20),6.38(0.10),93.70(0.38),14.97(0.17)
